"RecordedDate","seconds","n_turnsOK","whichva","VA_Google","VA_Amazon","VA_Apple","VA_Microsoft","VA_Samsung","VA_Other","VA_didnotuseVA","QID1_6_TEXT","vamost","devicemost","partweek","ndays","times_per_day","whenuse","when_morning","when_lunch","when_afternoon","when_evening","when_night","check_n_turns","last_service_when","recall_last","last_service_which","last_service_howlong","socpres1","socpres2","socpres3","socpres4","socpres5","socpres6","socpres7","socpres8","socpres9","socpres10","socpres11","socpres12","epsi1","epsi2","epsi3","epsi4","epsi5","epsi6","comp1","comp2","comp3","warm1","warm2","warm3","QID34","personalized1","personalized2","personalized3","privrisk1","privrisk2","privrisk3","privrisk4","privrisk5","sat1","sat2","sat3","gender","age","country","edu","QID45_6_TEXT","employ","marit","income1","income2"
2020-05-06 08:02:15,254,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","Weekdays",2,1,13,1,0,1,0,0,1,"5 days ago",3,"check traffic /navigation",2,3,4,2,3,2,2,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,9,8,7,8,7,7,7,4,4,4,1,34,1,2,NA,1,3,2,NA
2020-05-06 08:02:17,265,1,123,1,1,1,0,0,0,0,NA,"Apple","Smartphone","Weekend",4,10,34,0,0,1,1,0,1,"Yesterday",5,"play music",2,4,4,2,2,1,2,4,1,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,9,8,8,7,8,7,8,7,4,5,4,1,29,1,3,NA,1,2,5,NA
2020-05-06 08:02:19,115,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","Weekend",2,2,1,1,0,0,0,0,1,"Today",5,"check traffic /navigation",15,4,4,4,5,3,5,4,4,5,4,3,4,4,5,3,3,4,4,2,3,2,1,3,4,2,8,9,9,9,8,9,9,9,4,5,5,1,36,1,3,NA,2,2,3,NA
2020-05-06 08:02:21,132,1,234,0,1,1,1,0,0,0,NA,"Amazon","Smart Speaker","All days",7,10,1345,1,0,1,1,1,1,"2 days ago",5,"play music",2,3,3,4,3,4,5,3,2,3,1,3,3,5,4,3,5,4,4,4,5,5,5,4,4,3,8,8,9,8,8,9,9,10,4,3,5,1,25,1,4,NA,1,2,3,NA
2020-05-06 08:02:22,303,1,123,1,1,1,0,0,0,0,NA,"Amazon","Smart Speaker","All days",4,3,14,1,0,0,1,0,1,"4 days ago",9,"check traffic /navigation",5,3,3,3,2,2,2,3,2,3,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,8,7,8,8,8,8,9,8,4,4,4,2,44,1,3,NA,1,2,3,NA
2020-05-06 08:02:22,259,1,12,1,1,0,0,0,0,0,NA,"Amazon","Smartphone","Weekend",5,5,4,0,0,0,1,0,1,"2 days ago",3,"play music",30,4,4,5,4,4,4,5,4,5,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,3,7,8,8,9,9,9,9,10,5,4,5,2,40,1,3,NA,1,2,2,NA
2020-05-06 08:02:24,182,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","All days",5,4,1245,1,1,0,1,1,1,"2 days ago",3,"set timer",3,4,2,2,1,2,2,5,3,4,2,4,2,4,4,4,5,4,4,4,4,4,2,4,4,3,8,8,6,7,7,8,9,7,4,4,4,1,41,1,2,NA,1,2,2,NA
2020-05-06 08:02:32,230,1,12,1,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","Weekend",4,2,5,0,0,0,0,1,1,"3 days ago",5,"play music",40,5,5,5,5,4,4,4,4,4,4,5,3,3,5,4,5,4,5,5,5,4,4,5,4,3,9,8,9,9,9,8,9,10,5,4,3,2,30,1,4,NA,1,2,3,NA
2020-05-06 08:02:39,304,1,1,1,0,0,0,0,0,0,NA,"Google","Smart Speaker","Weekdays",7,5,345,0,0,1,1,1,1,"2 days ago",2,"check weather/news",1,5,3,3,1,3,1,NA,1,3,NA,NA,4,5,5,5,5,5,5,4,4,5,3,4,4,3,7,8,8,6,8,6,6,6,4,4,4,1,36,1,2,NA,1,2,2,NA
2020-05-06 08:02:39,211,1,12,1,1,0,0,0,0,0,NA,"Google","Smart Speaker","Weekdays",3,8,2,0,1,0,0,0,1,"Yesterday",3,"set timer",46,3,5,4,5,4,5,5,4,4,5,5,4,5,4,5,4,4,5,4,2,3,3,4,5,3,9,8,8,10,10,9,10,9,5,4,3,1,30,1,4,NA,1,2,3,NA
2020-05-06 08:02:42,151,1,12,1,1,0,0,0,0,0,NA,"Google","Smart Speaker","All days",7,15,145,1,0,0,1,1,1,"> 7 days ago",5,"add items to a shopping list",5,4,5,1,1,1,1,1,1,5,1,4,4,4,4,5,5,5,4,5,5,4,4,4,4,3,9,8,8,6,7,6,6,6,4,5,4,1,31,1,4,NA,1,1,3,NA
2020-05-06 08:02:44,178,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","All days",5,3,145,1,0,0,1,1,1,"5 days ago",9,"check weather/news",10,1,1,1,1,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,9,9,9,6,6,6,6,6,5,5,5,2,30,1,2,NA,1,1,3,NA
2020-05-06 08:02:44,247,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","All days",1,0,1,1,0,0,0,0,1,"2 days ago",10,"check traffic /navigation",1,5,5,1,1,1,1,NA,1,4,1,4,4,4,5,5,4,4,5,4,4,4,3,3,3,3,9,9,9,8,8,7,7,8,4,4,4,1,29,1,3,NA,1,3,3,NA
2020-05-06 08:02:45,252,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smartphone","Weekdays",1,5,1,1,0,0,0,0,1,"Today",10,"play music",15,4,5,4,4,5,4,4,5,5,5,4,5,5,5,4,5,4,4,5,5,4,2,5,4,3,8,9,8,10,10,10,9,9,4,5,4,1,28,1,3,NA,1,2,3,NA
2020-05-06 08:02:48,171,1,1,1,0,0,0,0,0,0,NA,"Google","Other","Weekdays",2,4,2,0,1,0,0,0,1,"Yesterday",2,"play music",10,4,3,4,5,3,5,5,3,5,4,4,4,4,5,3,5,3,4,5,4,5,1,4,5,3,8,7,8,10,8,9,10,8,4,5,3,1,30,1,3,NA,1,2,2,NA
2020-05-06 08:02:51,302,1,4,0,0,0,1,0,0,0,NA,"Microsoft","Other","All days",7,2,14,1,0,0,1,0,1,"4 days ago",3,"check weather/news",3,1,1,3,3,5,3,1,3,1,3,3,3,3,3,5,3,5,5,3,3,3,3,3,3,3,7,7,1,10,10,10,10,10,3,3,3,1,54,1,6,"AA",1,1,3,NA
2020-05-06 08:02:51,301,1,1234,1,1,1,1,0,0,0,NA,"Apple","Smartphone","All days",6,3,1234,1,1,1,1,0,1,"6 days ago",9,"buy/order something",2,3,2,2,2,2,2,2,2,3,2,3,4,3,3,3,3,3,4,4,4,4,3,3,3,3,8,8,8,8,8,8,8,8,4,4,4,2,37,1,3,NA,1,1,2,NA
2020-05-06 08:02:55,284,1,12,1,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","Weekdays",4,3,45,0,0,0,1,1,1,"Yesterday",3,"play music",60,4,3,4,3,5,4,5,4,4,5,3,5,5,5,4,3,4,4,2,3,3,4,4,3,3,8,9,8,8,8,10,10,8,4,4,3,2,30,1,3,NA,1,2,2,NA
2020-05-06 08:02:57,266,1,123,1,1,1,0,0,0,0,NA,"Google","Other","All days",1,50,12345,1,1,1,1,1,1,"Yesterday",2,"play music",20,4,4,3,3,5,5,4,3,4,5,5,5,5,4,4,4,3,5,4,4,4,4,4,4,3,9,8,7,8,10,9,10,9,4,3,5,2,32,1,3,NA,1,2,2,NA
2020-05-06 08:02:57,333,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","All days",3,1,4,0,0,0,1,0,1,"2 days ago",9,"other",20,4,1,1,3,1,1,1,1,1,1,4,4,5,5,1,1,1,5,4,4,4,4,4,3,3,9,9,9,8,8,8,8,8,4,5,4,1,61,1,2,NA,7,1,2,NA
2020-05-06 08:03:00,274,1,12,1,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","All days",6,6,14,1,0,0,1,0,1,"3 days ago",3,"play music",5,4,4,5,5,4,5,4,5,3,3,4,4,5,4,4,3,4,5,4,4,5,4,5,5,3,9,9,8,9,10,9,9,9,4,5,5,1,37,1,4,NA,1,2,3,NA
2020-05-06 08:03:00,276,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","Weekdays",1,25,1,1,0,0,0,0,1,"Yesterday",5,"play music",23,5,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,4,5,5,2,4,4,3,9,8,8,9,9,9,8,9,4,4,4,1,31,1,5,NA,1,2,3,NA
2020-05-06 08:03:12,319,1,23,0,1,1,0,0,0,0,NA,"Amazon","Smart Speaker","Weekend",7,3,4,0,0,0,1,0,1,"> 7 days ago",5,"buy/order something",2,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,1,1,5,5,5,3,4,3,3,9,9,9,6,6,6,6,6,5,5,5,2,37,1,2,NA,1,1,2,NA
2020-05-06 08:03:16,256,1,234,0,1,1,1,0,0,0,NA,"Apple","Smartphone","All days",2,1,3,0,0,1,0,0,1,"> 7 days ago",3,"check traffic /navigation",1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,3,3,3,3,6,6,6,9,9,9,9,9,2,3,2,2,34,1,5,NA,4,1,2,NA
2020-05-06 08:03:18,161,1,3,0,0,1,0,0,0,0,NA,"Apple","Smartphone","All days",6,1130,1,1,0,0,0,0,1,"2 days ago",9,"check traffic /navigation",NA,5,4,2,3,2,3,3,4,3,4,4,5,4,4,5,5,5,5,4,3,4,3,4,4,3,6,8,7,9,10,8,9,9,2,4,3,1,22,1,3,NA,2,2,3,NA
2020-05-06 08:03:19,255,1,3,0,0,1,0,0,0,0,NA,"Apple","Smartphone","Weekdays",2,1,2,0,1,0,0,0,1,"Yesterday",3,"play music",4,2,2,1,1,4,2,4,1,5,2,4,1,2,2,2,1,1,1,4,4,4,4,3,3,3,1,8,6,7,6,9,7,7,1,2,2,1,28,1,3,NA,1,1,4,NA
2020-05-06 08:03:21,182,1,23,0,1,1,0,0,0,0,NA,"Apple","Smartphone","All days",7,7,12345,1,1,1,1,1,1,"5 days ago",3,"other",1,2,1,3,2,3,1,1,3,4,1,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,8,8,7,7,7,7,7,8,4,4,4,2,26,1,3,NA,7,1,3,NA
2020-05-06 08:03:23,328,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","Weekdays",7,5,14,1,0,0,1,0,1,"Yesterday",10,"add items to a shopping list",5,4,4,1,2,1,1,4,2,4,1,4,5,5,4,4,4,4,5,4,4,5,4,5,4,3,9,8,8,7,6,7,7,6,4,5,4,1,49,1,2,NA,1,2,2,NA
2020-05-06 08:03:23,251,1,12,1,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","All days",7,3,1,1,0,0,0,0,1,"4 days ago",3,"play music",45,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,1,1,3,8,9,9,10,10,10,10,10,5,5,5,1,32,1,4,NA,2,2,4,NA
2020-05-06 08:03:24,241,1,1245,1,1,0,1,1,0,0,NA,"Amazon","Smartphone","Weekend",3,3,123,1,1,1,0,0,1,"3 days ago",3,"play music",60,4,3,4,5,5,3,2,5,4,3,4,5,4,3,3,4,5,5,1,1,2,1,5,4,2,9,7,8,9,10,8,9,8,4,5,4,1,23,1,3,NA,1,1,3,NA
2020-05-06 08:03:28,297,1,3,0,0,1,0,0,0,0,NA,"Apple","Smartphone","Weekdays",4,6,13,1,0,1,0,0,1,"3 days ago",9,"buy/order something",4,4,4,2,2,2,1,4,2,4,2,4,3,5,5,4,4,4,5,4,4,5,3,4,4,3,9,8,9,7,7,7,7,8,4,4,4,2,45,1,3,NA,1,2,3,NA
2020-05-06 08:03:28,329,1,234,0,1,1,1,0,0,0,NA,"Apple","Smartphone","All days",1,1,34,0,0,1,1,0,1,"2 days ago",5,"play music",3,4,4,1,2,1,1,1,1,3,1,2,1,4,5,5,5,4,4,5,5,5,4,4,3,3,9,8,9,9,9,6,7,9,5,5,5,2,22,1,3,NA,5,1,4,NA
2020-05-06 08:03:29,271,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","All days",7,5,2,0,1,0,0,0,1,"Today",10,"buy/order something",30,4,5,4,4,3,3,3,3,4,4,5,4,3,5,4,5,4,4,4,4,4,3,5,4,3,8,9,8,8,9,8,9,9,5,4,4,2,53,1,3,NA,1,2,3,NA
2020-05-06 08:03:31,191,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","Weekdays",2,1,13,1,0,1,0,0,1,"7 days ago",9,"send text /email",3,1,1,4,1,2,2,1,3,3,1,1,4,4,4,4,4,4,3,4,4,4,3,3,3,3,7,8,7,9,9,9,9,9,3,4,3,4,60,1,3,NA,1,1,3,NA
2020-05-06 08:03:40,335,1,1,1,0,0,0,0,0,0,NA,"Google","Other","Weekdays",4,12,5,0,0,0,0,1,1,"2 days ago",3,"play music",14,3,5,4,1,2,3,3,3,2,2,1,4,3,3,4,2,1,2,4,4,1,3,5,2,3,1,6,7,6,7,8,9,8,2,3,4,1,46,1,3,NA,1,2,1,NA
2020-05-06 08:03:42,146,1,3,0,0,1,0,0,0,0,NA,"Apple","Smartphone","All days",2,5,3,0,0,1,0,0,1,"5 days ago",3,"check weather/news",NA,1,3,4,4,5,1,2,4,2,2,1,3,3,2,4,1,3,4,4,4,4,2,3,4,3,7,1,9,7,8,7,9,7,4,3,5,1,25,1,3,NA,1,1,3,NA
2020-05-06 08:03:54,268,1,25,0,1,0,0,1,0,0,NA,"Samsung","Smartphone","Weekend",2,15,123,1,1,1,0,0,1,"6 days ago",3,"play music",30,4,4,5,5,4,4,5,4,3,4,4,5,4,3,4,4,5,4,4,4,4,4,4,4,3,8,9,8,10,9,10,9,10,4,3,4,2,26,1,4,NA,1,2,3,NA
2020-05-06 08:03:54,195,1,23,0,1,1,0,0,0,0,NA,"Apple","Smartphone","Weekdays",4,1,1,1,0,0,0,0,1,"> 7 days ago",9,"other",3,5,5,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,5,5,5,5,4,4,4,3,8,8,8,6,6,6,6,6,5,5,5,2,44,1,3,NA,1,2,3,NA
2020-05-06 08:03:56,353,1,1,1,0,0,0,0,0,0,NA,"Google","Smartphone","All days",7,5,14,1,0,0,1,0,1,"Yesterday",9,"check weather/news",3,4,3,1,1,2,4,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,6,9,9,9,8,9,8,8,4,4,5,2,24,1,3,NA,1,2,3,NA
2020-05-06 08:04:04,377,1,2,0,1,0,0,0,0,0,NA,"Amazon","Other","All days",7,20,1,1,0,0,0,0,1,"2 days ago",9,"play music",1,4,3,1,1,1,1,3,1,1,1,5,4,4,4,4,4,4,4,5,5,4,4,5,3,3,9,9,7,9,9,7,7,9,5,5,5,1,57,1,3,NA,7,1,3,NA
2020-05-06 08:04:10,393,1,123,1,1,1,0,0,0,0,NA,"Apple","Smartphone","All days",3,2,145,1,0,0,1,1,1,"5 days ago",5,"send text /email",1,4,3,2,2,2,3,4,2,3,2,3,4,4,4,5,5,4,5,5,5,5,4,4,3,3,9,9,7,6,6,6,7,7,5,5,5,2,30,1,2,NA,2,1,3,NA
2020-05-06 08:04:11,202,1,2,0,1,0,0,0,0,0,NA,"Amazon","Smart Speaker","Weekend",3,2,3,0,0,1,0,0,1,"6 days ago",9,"set timer",15,2,2,2,3,2,2,2,3,3,2,2,3,2,3,4,2,2,4,2,2,2,3,2,1,2,6,8,6,7,9,8,8,9,2,4,4,1,34,1,3,NA,1,2,3,NA
